endTime,artistName,trackName,msPlayed
2020-12-16 21:26,DJ Snake,Quiet Storm (with Zomboy),150010
2020-12-17 05:11,ayokay,Stay With Me (feat. Jeremy Zucker),16213
2020-12-17 05:11,ayokay,Sleepless Nights (feat. Nightly),4757
2020-12-17 05:11,ayokay,Sleepless Nights (feat. Nightly),2325
2020-12-17 05:30,ayokay,Stay With Me (feat. Jeremy Zucker),24362
2020-12-17 05:34,SLANDER,Potions,215200
2020-12-17 05:39,ILLENIUM,In Your Wake (feat. Jeza) - Original Mix,328500
2020-12-17 05:45,ILLENIUM,Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),366252
2020-12-17 05:50,Said The Sky,Espy,247248
2020-12-17 05:53,3LAU,Fire - Price & Takis Remix,186000
2020-12-17 06:10,ILLENIUM,Sad Songs (& Said The Sky with Annika Wells),313534
2020-12-17 06:21,Said The Sky,Never Gone,220863
2020-12-17 06:35,Said The Sky,Over Getting Over You,221250
2020-12-17 06:36,Said The Sky,Run Away (feat. Car),80198
2020-12-17 06:39,3LAU,Fire,147574
2020-12-17 06:52,3LAU,Fire,63245
2020-12-17 06:57,Seven Lions,Rush Over Me,276365
2020-12-17 07:00,Said The Sky,Dreaming - Original Mix,183000
2020-12-17 07:03,Said The Sky,Worth Living For,190754
2020-12-17 13:45,Said The Sky,Worth Living For,260
2020-12-17 13:49,Said The Sky,Hero,249371
2020-12-17 13:52,Said The Sky,Espy,188348
2020-12-17 13:53,SLANDER,Potions,5080
2020-12-17 13:53,Selena Gomez,Wolves - Said The Sky Remix,62340
2020-12-17 13:55,Selena Gomez,Wolves - Said The Sky Remix,87225
2020-12-17 13:58,Selena Gomez,Wolves - Said The Sky Remix,208000
2020-12-17 14:02,Selena Gomez,Wolves - Said The Sky Remix,208000
2020-12-17 14:05,Selena Gomez,Wolves - Said The Sky Remix,208000
2020-12-17 14:09,Selena Gomez,Wolves - Said The Sky Remix,11194
2020-12-17 14:09,Selena Gomez,Wolves - Said The Sky Remix,208000
2020-12-17 14:09,Selena Gomez,Wolves,1270
2020-12-17 14:11,Halsey,Graveyard,137347
2020-12-17 14:13,Ariana Grande,motive (with Doja Cat),72003
2020-12-17 17:52,DJ Snake,Quiet Storm (with Zomboy),880
2020-12-17 18:05,Ray Volpe,Battle Of The Bros,60610
2020-12-17 18:07,Seven Lions,Foolish Of Me (feat. Jonathan Mendelsohn),15270
2020-12-17 18:07,Seven Lions,Only Now (feat. Tyler Graves),108470
2020-12-17 18:11,Seven Lions,Senseless (feat. Tyler Graves) - Nurko Remix,83730
2020-12-17 18:13,Morgan Page,Gone My Way - Nurko Remix,9760
2020-12-17 18:13,Nurko,Clouds,78010
2020-12-17 20:57,Zedd,Stay,660
2020-12-17 20:57,2Pac,All Eyez On Me (ft. Big Syke),13680
2020-12-18 05:44,Ariana Grande,motive (with Doja Cat),37690
2020-12-18 05:44,Zedd,Stay,2970
2020-12-18 05:49,Zedd,Inside Out (feat. Griff),186245
2020-12-18 05:52,Zedd,The Middle,184732
2020-12-18 05:55,ILLENIUM,Feel Something (With I Prevail),221000
2020-12-18 05:59,NOTD,I Miss Myself (with HRVY),191611
2020-12-18 06:02,Gryffin,All You Need To Know (feat. Calle Lehmann),153366
2020-12-18 09:54,Gryffin,All You Need To Know (feat. Calle Lehmann),85094
2020-12-18 09:55,3LAU,Better With You,74315
2020-12-18 13:36,3LAU,Better With You,1540
2020-12-18 13:36,Gryffin,All You Need To Know (feat. Calle Lehmann),75090
2020-12-18 13:38,Zedd,Happy Now,139850
2020-12-19 05:48,Travis Scott,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,307236
2020-12-19 05:49,JACKBOYS,JACKBOYS,46836
2020-12-19 05:53,JACKBOYS,GANG GANG,244760
2020-12-19 05:56,Don Toliver,HAD ENOUGH (feat. Quavo & Offset),157133
2020-12-19 05:59,JACKBOYS,OUT WEST (feat. Young Thug),157712
2020-12-19 06:03,JACKBOYS,WHAT TO DO? (feat. Don Toliver),250141
2020-12-19 06:05,JACKBOYS,GATTI,121608
2020-12-19 14:26,Zedd,Happy Now,33142
2020-12-19 14:28,Martin Garrix,Used To Love (with Dean Lewis),152034
2020-12-19 14:59,ILLENIUM,Nightlight,11234
2020-12-20 01:49,ILLENIUM,Nightlight,211171
2020-12-20 01:52,Matoma,The Bender (with Brando),1240
2020-12-20 01:52,Zedd,365,17900
2020-12-20 01:52,Porter Robinson,Something Comforting,203671
2020-12-20 01:52,Gryffin,Feel Good (feat. Daya),2980
2020-12-20 01:52,NOTD,I Don't Know Why,4010
2020-12-20 01:53,Vicetone,Waiting,190
2020-12-20 01:53,R3HAB,All Comes Back to You,2360
2020-12-20 01:53,ILLENIUM,Crashing (feat. Bahari),3620
2020-12-20 01:53,Zedd,Funny,3650
2020-12-20 01:53,Porter Robinson,Shelter,2880
2020-12-20 01:53,ILLENIUM,Paper Thin,170
2020-12-20 01:53,NOTD,So Close,1190
2020-12-20 01:53,Zedd,Stay,850
2020-12-20 01:58,Vicetone,Nevada,208561
2020-12-20 02:00,DVBBS,West Coast (feat. Quinn XCII),150819
